,custAge,profession,marital,schooling,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit
0,34.0,1.0,1.0,7.0,0.0,1.0,0,4,3.0,2,0,0,-1.8,93.075,-47.1,1.4980000000000002,5099.1,999.0,0,0,0.0
1,31.0,8.0,1.0,4.0,0.0,0.0,0,7,4.0,35,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,0,0.0
2,33.0,1.0,1.0,4.0,0.0,0.0,1,6,2.0,1,0,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0,0.0
3,52.0,1.0,3.0,7.0,1.0,0.0,0,7,2.0,2,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
4,39.0,2.0,1.0,0.0,1.0,0.0,0,7,2.0,6,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
5,40.0,3.0,2.0,0.0,1.0,0.0,1,6,4.0,3,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,0,0.0
6,50.0,10.0,1.0,0.0,0.0,0.0,0,7,2.0,3,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
7,41.0,10.0,2.0,6.0,0.0,0.0,0,10,4.0,2,0,0,-3.4,92.431,-26.9,0.741,5017.5,999.0,0,0,0.0
8,23.0,2.0,1.0,1.0,1.0,0.0,1,6,5.0,10,0,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0,0.0
9,29.0,10.0,2.0,6.0,1.0,0.0,0,8,1.0,3,0,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0,0.0
10,57.0,6.0,2.0,0.0,0.0,0.0,1,6,2.0,2,0,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0,0.0
11,33.0,2.0,2.0,0.0,0.0,0.0,0,7,1.0,4,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,0,0.0
12,40.0,10.0,2.0,7.0,1.0,0.0,1,10,3.0,1,1,1,-1.1,94.601,-49.5,0.985,4963.6,999.0,2,0,0.0
13,59.0,4.0,2.0,0.0,0.0,0.0,1,6,4.0,12,0,0,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0,0.0
14,38.0,10.0,2.0,7.0,0.0,0.0,0,5,5.0,1,1,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,1,0,0.0
15,44.0,2.0,2.0,0.0,1.0,1.0,0,5,1.0,2,0,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,999.0,0,0,0.0
16,34.0,10.0,1.0,0.0,1.0,1.0,1,7,4.0,1,0,0,1.4,93.91799999999999,-42.7,4.966,5228.1,999.0,0,0,0.0
17,51.0,2.0,2.0,0.0,1.0,1.0,1,5,3.0,2,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,0,0.0
18,40.0,8.0,2.0,0.0,1.0,0.0,1,5,3.0,1,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,0,0.0
19,37.0,1.0,1.0,7.0,0.0,1.0,0,8,1.0,3,0,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0,0.0
20,33.0,1.0,2.0,4.0,1.0,1.0,1,5,4.0,2,0,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0,0.0
21,39.0,2.0,2.0,3.0,1.0,0.0,0,4,3.0,1,1,1,-1.8,93.075,-47.1,1.445,5099.1,999.0,5,0,0.0
22,55.0,8.0,2.0,4.0,1.0,0.0,0,8,3.0,3,0,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0,0.0
23,27.0,8.0,1.0,6.0,1.0,0.0,0,6,2.0,1,0,0,-2.9,92.963,-40.8,1.262,5076.2,999.0,0,0,0.0
24,24.0,9.0,1.0,4.0,1.0,0.0,0,5,2.0,2,2,1,-1.8,93.876,-40.0,0.682,5008.7,999.0,0,0,0.0
25,40.0,8.0,3.0,0.0,1.0,0.0,1,4,5.0,3,0,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0,0.0
26,40.0,5.0,2.0,0.0,0.0,0.0,1,6,3.0,9,0,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0,0.0
27,25.0,10.0,2.0,0.0,0.0,0.0,0,7,4.0,3,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0,0.0
